"","Entity","Year","total_affected_rate_per_100k_all_disasters"
"740","Jamaica",1950,140.5706333
"741","Jamaica",1960,547.645126
"742","Jamaica",1970,1184.818683
"743","Jamaica",1980,3809.671054
"744","Jamaica",1990,2281.236388
"745","Jamaica",2000,1574.390992
"746","Jamaica",2010,1534.097847
"747","Japan",1900,0.640842524
"748","Japan",1910,0.617462608
"749","Japan",1920,49.69915018
"750","Japan",1930,4.265804451
"751","Japan",1940,376.8991385
"752","Japan",1950,643.1127199
"753","Japan",1960,451.1933936
"754","Japan",1970,34.98656722
"755","Japan",1980,49.82411847
"756","Japan",1990,87.59405315
"757","Japan",2000,128.1290299
"758","Japan",2010,270.3475962
"759","Jordan",1920,0
"760","Jordan",1930,0
"761","Jordan",1940,0
"762","Jordan",1950,0
"763","Jordan",1960,49.9732295
"764","Jordan",1970,0
"765","Jordan",1980,0.092592593
"766","Jordan",1990,405.5829923
"767","Jordan",2000,293.3152647
"768","Jordan",2010,0.064224787
"769","Kazakhstan",1910,0
"770","Kazakhstan",1920,0
"771","Kazakhstan",1930,0
"772","Kazakhstan",1940,0
"773","Kazakhstan",1950,0
"774","Kazakhstan",1960,0
"775","Kazakhstan",1970,0
"776","Kazakhstan",1980,0
"777","Kazakhstan",1990,413.1916978
"778","Kazakhstan",2000,52.82532993
"779","Kazakhstan",2010,49.13125093
"780","Kenya",1960,289.0863539
"781","Kenya",1970,178.8301361
"782","Kenya",1980,327.2123083
"783","Kenya",1990,9808.068464
"784","Kenya",2000,2906.590043
"785","Kenya",2010,3728.095776
"786","Kiribati",1970,132.0754717
"787","Kiribati",1980,0
"788","Kiribati",1990,10120.48193
"789","Kiribati",2000,8.585858586
"790","Kiribati",2010,155.3186214
"791","Kuwait",1990,1.169590643
"792","Kuwait",2000,0
"793","Kuwait",2010,0
"794","Kyrgyzstan",1990,455.3639469
"795","Kyrgyzstan",2000,3806.33507
"796","Kyrgyzstan",2010,71.3806329
"797","Laos",1960,332.7469489
"798","Laos",1970,13025.48568
"799","Laos",1980,1821.046034
"800","Laos",1990,6015.404448
"801","Laos",2000,2502.920249
"802","Laos",2010,3491.89335
"803","Latvia",1990,0
"804","Latvia",2000,0
"805","Latvia",2010,0
"806","Lebanon",1950,1.262626263
"807","Lebanon",1960,0
"808","Lebanon",1970,0
"809","Lebanon",1980,5.622188906
"810","Lebanon",1990,338.3452536
"811","Lebanon",2000,39.96909022
"812","Lebanon",2010,1549.337737
"813","Lesotho",1960,2073.170732
"814","Lesotho",1970,0
"815","Lesotho",1980,4591.96904
"816","Lesotho",1990,1946.715193
"817","Lesotho",2000,4886.067989
"818","Lesotho",2010,9112.525343
"819","Liberia",1980,1.005530417
"820","Liberia",1990,4846.600554
"821","Liberia",2000,61.71235126
"822","Liberia",2010,73.44026118
"823","Libya",1960,33.44741755
"824","Libya",1970,0
"825","Libya",1980,0
"826","Libya",1990,0
"827","Libya",2000,0
"828","Libya",2010,32.72040763
"829","Lithuania",1990,2124.761645
"830","Lithuania",2000,0
"831","Lithuania",2010,0
"832","Low income",1900,0
"833","Low income",1910,4.040389297
"834","Low income",1920,0
